country,meteor_count,latitude,longitude
سلطنة عُمان Oman,3051,21.0000287,57.0036901
United States of America,1542,39.7837304,-100.4458825
Libya / ليبيا,1397,26.8234472,18.1236723
Australia,588,-24.7761086,134.755
الجزائر,579,28.0000272,2.9999825
Chile,139,-31.7613365,-71.3187697
India,134,22.3511148,78.6677428
Россия,130,64.6863136,97.7453061
Maroc,125,31.1728205,-7.3362482
China 中国,101,35.000074,104.999927
México,95,19.4326296,-99.1331785
France,73,46.603354,1.8883335
Argentina,71,-34.9964963,-64.9672817
Canada,60,61.0666922,-107.9917071
Brasil,57,-10.3333333,-53.2
日本 (Japan),54,36.5748441,139.2394179
Deutschland,47,51.0834196,10.4234469
تونس,45,33.8439408,9.400138
Egypt / مصر,44,26.2540493,29.2675469
Україна,42,49.4871968,31.2718321
South Africa,41,-28.8166236,24.991639
Italia,37,42.6384261,12.674297
Niger,34,17.7356214,9.3238432
España,31,39.3262345,-4.8380649
Saudi Arabia / السعودية,30,25.6242618,42.3528328
United Arab Emirates,28,24.0002488,53.9994829
Česká republika,23,49.8167003,15.4749544
United Kingdom,23,54.7023545,-3.2765753
Polska,19,52.215933,19.134422
Indonesia,19,-2.4833826,117.8902853
Nigeria,18,9.6000359,7.9999721
Kazakhstan,16,47.2286086,65.2093197
Sverige,16,59.6749712,14.5208584
Namibia,16,-23.2335499,17.3231107
پاکستان,15,30.3308401,71.247499
موريتانيا,14,20.2540382,-9.2399263
Türkiye,13,38.9597594,34.9249653
Norge,13,64.5731537,11.52803643954819
Suomi,12,63.2467777,25.9209164
Burkina Faso,10,12.0753083,-1.6880314
Монгол Улс,9,46.8250388,103.8499736
Tanzania,9,-6.5247123,35.7878438
România,9,45.9852129,24.6859225
Switzerland,8,46.7985624,8.2319736
Bangladesh,8,24.4768783,90.2932426
Slovensko,8,48.7411522,19.4528646
Magyarország,8,47.1817585,19.5060937
New Zealand,8,-41.5000831,172.8344077
Ethiopia,7,10.2116702,38.6521203
السودان ‎al-Sūdān,7,14.5844444,29.4917691
Österreich,7,47.2000338,13.199959
Mali,7,16.3700359,-2.2900239
Danmark,6,55.670249,10.3333283
Portugal,6,40.0332629,-7.8896263
Country,6,24.0873987,55.6387155
България,6,42.6073975,25.4856617
Türkmenistan,6,39.3763807,59.3924609
Србија (Serbia),6,44.1534121,20.55144
Uganda,6,1.5333554,32.2166578
Malawi,6,-13.2687204,33.9301963
Беларусь,5,53.4250605,27.6971358
République Démocratique du Congo,5,-2.9814344,23.8222636
Kenya,5,1.4419683,38.4313975
België - Belgique - Belgien,5,50.6402809,4.6667145
Ireland,5,52.865196,-7.9794599
Philippines,5,12.7503486,122.7312101
Eesti,4,58.7523778,25.3319078
Hrvatska,4,45.5643442,17.0118954
Lietuva,4,55.3500003,23.7499997
Angola,4,-11.8775768,17.5691241
Kalaallit Nunaat,4,77.6192349,-42.8125967
Western Sahara,4,24.1797324,-13.7667848
Nederland,4,52.5001698,5.7480821
ایران,3,32.6475314,54.5643516
Việt Nam,3,13.2904027,108.4265113
Lesotho,3,-29.6039267,28.3350193
Slovenija,3,45.8133113,14.4808369
Botswana,3,-23.1681782,24.5928742
Iraq,3,33.0955793,44.1749775
South Sudan,3,7.8699431,29.6667897
Venezuela,3,8.0018709,-66.1109318
ประเทศไทย,3,14.8971921,100.83273
Somalia / الصومال,3,8.3676771,49.083416
Myanmar,3,17.1750495,95.9999652
Peru,3,-6.8699697,-75.0458515
Zimbabwe,3,-18.4554963,29.7468414
اليَمَن al-Yaman,3,16.3471243,47.8915271
Latvija,3,56.8406494,24.7537645
Cambodia,2,13.5066394,104.869423
Sri Lanka,2,7.5554942,80.7137847
대한민국,2,36.638392,127.6961188
Colombia,2,2.8894434,-73.783892
Azerbaijan,2,40.3936294,47.7872508
Armenia,2,40.7696272,44.6736646
Tchad / تشاد,2,15.6134137,19.0156172
Cameroon;Cameroun,2,4.6125522,13.1535811
Uzbekistan,2,41.32373,63.9528098
Papua New Guinea,2,-5.6816069,144.2489081
Bolivia,2,-17.0568696,-64.9912286
Cuba,1,23.0131338,-80.8328748
Madagascar,1,-18.9249604,46.4416422
Ελλάδα,1,38.9953683,21.9877132
Jordan / الأُرْدُن,1,31.1667049,36.941628
Bosna i Hercegovina,1,44.3053476,17.5961467
Ghana,1,8.0300284,-1.0800271
북조선,1,40.3736611,127.0870417
Ecuador,1,-1.3397668,-79.3666965
Afghanistan,1,33.7680065,66.2385139
Uruguay,1,-32.8755548,-56.0201525
Sūriyya سوريا,1,34.6401861,39.0494106
Jamaika,1,18.1152958,-77.1598454610168
Costa Rica,1,10.2735633,-84.0739102
ישראל,1,31.5313113,34.8667654
Swaziland,1,-26.5624806,31.3991317
Guatemala,1,15.6356088,-89.8988087
Honduras,1,15.2572432,-86.0755145
Paraguay,1,-23.3165935,-58.1693445
قطر Qatar,1,25.3336984,51.2295295
Laos,1,20.0171109,103.378253
Rwanda,1,-1.9646631,30.0644358
لبنان  Lebanon,1,33.8750629,35.843409
Centrafrique,1,7.0323598,19.9981227
Zambia,1,-14.5186239,27.5599164
